"Year","Season","Week","Date","Field","TeamOne","TeamTwo","TeamOneScore","TeamTwoScore"
"2014","Fall",2,2014-08-24 13:30:00,"Lower Woodland PF Field 6","Find The Holes","Belltown Pub","11","8"
"2014","Fall",2,2014-08-24 15:00:00,"Lower Woodland PF Field 6","That's What She Said!!","Belltown Pub","13","4"
"2014","Fall",2,2014-08-24 16:30:00,"Lower Woodland PF Field 6","Rich And Jay's Love Children","That's What She Said!!","5","19"
"2014","Fall",2,2014-08-24 18:00:00,"Lower Woodland PF Field 6","Rich And Jay's Love Children","Chico's Bail Bonds","15","12"
"2014","Fall",3,2014-09-07 12:00:00,"Lower Woodland PF Field 3","I Like Big Bunts","Belltown Pub","17","9"
"2014","Fall",3,2014-09-07 13:30:00,"Lower Woodland PF Field 3","I Like Big Bunts","They Might Be Giants","19","8"
"2014","Fall",3,2014-09-07 15:00:00,"Lower Woodland PF Field 3","Stranger Danger","Find The Holes","8","23"
"2014","Fall",3,2014-09-07 16:30:00,"Lower Woodland PF Field 3","Find The Holes","The Crows","16","7"
"2014","Fall",3,2014-09-07 18:00:00,"Lower Woodland PF Field 3","#Blessed","The Crows","14","10"
"2014","Fall",3,2014-09-07 12:00:00,"Lower Woodland PF Field 6","Chico's Bail Bonds","That's What She Said!!","6","12"
"2014","Fall",3,2014-09-07 13:30:00,"Lower Woodland PF Field 6","That's What She Said!!","Too Drunk To Score","12","16"
"2014","Fall",3,2014-09-07 15:00:00,"Lower Woodland PF Field 6","Adversity Overcomers","Too Drunk To Score","12","11"
"2014","Fall",3,2014-09-07 16:30:00,"Lower Woodland PF Field 6","Adversity Overcomers","Rich And Jay's Love Children","27","1"
"2014","Fall",3,2014-09-07 18:00:00,"Lower Woodland PF Field 6","Rich And Jay's Love Children","Arbornauts","13","15"
"2014","Fall",4,2014-09-14 12:00:00,"Lower Woodland PF Field 3","Chico's Bail Bonds","I Like Big Bunts","20","10"
"2014","Fall",4,2014-09-14 13:30:00,"Lower Woodland PF Field 3","Stranger Danger","Chico's Bail Bonds","2","20"
"2014","Fall",4,2014-09-14 15:00:00,"Lower Woodland PF Field 3","Arbornauts","Stranger Danger","23","5"
"2014","Fall",4,2014-09-14 16:30:00,"Lower Woodland PF Field 3","Arbornauts","Find The Holes","13","10"
"2014","Fall",4,2014-09-14 12:00:00,"Lower Woodland PF Field 6","The Crows","Too Drunk To Score","16","15"
"2014","Fall",4,2014-09-14 13:30:00,"Lower Woodland PF Field 6","#Blessed","Belltown Pub","10","22"
"2014","Fall",4,2014-09-14 15:00:00,"Lower Woodland PF Field 6","They Might Be Giants","#Blessed","20","9"
"2014","Fall",4,2014-09-14 16:30:00,"Lower Woodland PF Field 6","Rich And Jay's Love Children","They Might Be Giants","2","6"
"2014","Fall",4,2014-09-14 18:00:00,"Lower Woodland PF Field 6","Adversity Overcomers","That's What She Said!!","12","10"
"2014","Fall",5,2014-09-21 12:00:00,"Lower Woodland PF Field 3","Chico's Bail Bonds","Find The Holes","14","15"
"2014","Fall",5,2014-09-21 13:30:00,"Lower Woodland PF Field 3","Find The Holes","Adversity Overcomers","1","17"
"2014","Fall",5,2014-09-21 15:00:00,"Lower Woodland PF Field 3","#Blessed","Rich And Jay's Love Children","8","10"
"2014","Fall",5,2014-09-21 16:30:00,"Lower Woodland PF Field 3","Rich And Jay's Love Children","I Like Big Bunts","9","10"
"2014","Fall",5,2014-09-21 18:00:00,"Lower Woodland PF Field 3","Belltown Pub","I Like Big Bunts","14","12"
"2014","Fall",5,2014-09-21 12:00:00,"Lower Woodland PF Field 6","Too Drunk To Score","That's What She Said!!","17","21"
"2014","Fall",5,2014-09-21 13:30:00,"Lower Woodland PF Field 6","That's What She Said!!","Arbornauts","18","3"
"2014","Fall",5,2014-09-21 15:00:00,"Lower Woodland PF Field 6","Belltown Pub","They Might Be Giants","14","5"
"2014","Fall",5,2014-09-21 16:30:00,"Lower Woodland PF Field 6","Belltown Pub","The Crows","15","4"
"2014","Fall",5,2014-09-21 18:00:00,"Lower Woodland PF Field 6","That's What She Said!!","Adversity Overcomers","20","17"
"2014","Summer",1,2014-06-08 12:00:00,"Greenlake Field 1","Sluggernauts","#Blessed","16","16"
"2014","Summer",1,2014-06-08 13:30:00,"Greenlake Field 1","Your Mom Plays Softball","Dirty Mike And The Boys","17","5"
"2014","Summer",1,2014-06-08 15:00:00,"Greenlake Field 1","Sloppy Bunts","Balls Deep","13","16"
"2014","Summer",1,2014-06-08 16:30:00,"Greenlake Field 1","No Glove, No Love","Son Of Pitches","6","5"
"2014","Summer",1,2014-06-08 18:00:00,"Greenlake Field 1","Greenlake Jackals","Stranger Danger","25","7"
"2014","Summer",1,2014-06-08 13:30:00,"Greenlake Field 2","Here For The Beer","Fowl Balls","11","12"
"2014","Summer",1,2014-06-08 15:00:00,"Greenlake Field 2","Afternoon Delight","Fowl Balls","4","9"
"2014","Summer",1,2014-06-08 16:30:00,"Greenlake Field 2","Afternoon Delight","Find The Holes","24","15"
"2014","Summer",1,2014-06-08 18:00:00,"Greenlake Field 2","Oregon Sucks!","Find The Holes","13","10"
"2014","Summer",2,2014-06-22 12:00:00,"Greenlake Field 1","Fowl Balls","Dirty Mike And The Boys","11","16"
"2014","Summer",2,2014-06-22 13:30:00,"Greenlake Field 1","Son Of Pitches","Sluggernauts","1","30"
"2014","Summer",2,2014-06-22 16:30:00,"Greenlake Field 1","Oregon Sucks!","Afternoon Delight","10","8"
"2014","Summer",2,2014-06-22 18:00:00,"Greenlake Field 1","Your Mom Plays Softball","Oregon Sucks!","19","5"
"2014","Summer",2,2014-06-22 12:00:00,"Greenlake Field 2","No Glove, No Love","Sloppy Bunts","5","14"
"2014","Summer",2,2014-06-22 13:30:00,"Greenlake Field 2","No Glove, No Love","#Blessed","6","11"
"2014","Summer",2,2014-06-22 15:00:00,"Greenlake Field 2","Gomicroamadub","Stranger Danger","13","10"
"2014","Summer",2,2014-06-22 16:30:00,"Greenlake Field 2","Greenlake Jackals","The Joel Duck Experience","8","7"
"2014","Summer",2,2014-06-22 18:00:00,"Greenlake Field 2","Greenlake Jackals","Balls Deep","11","9"
"2014","Summer",3,2014-06-29 12:00:00,"Greenlake Field 1","#Blessed","Balls Deep","13","22"
"2014","Summer",3,2014-06-29 15:00:00,"Greenlake Field 1","Gomicroamadub","Son Of Pitches","8","12"
"2014","Summer",3,2014-06-29 16:30:00,"Greenlake Field 1","Gomicroamadub","Sloppy Bunts","16","7"
"2014","Summer",3,2014-06-29 18:00:00,"Greenlake Field 1","Greenlake Jackals","No Glove, No Love","23","13"
"2014","Summer",3,2014-06-29 12:00:00,"Greenlake Field 2","Here For The Beer","Afternoon Delight","1","12"
"2014","Summer",3,2014-06-29 13:30:00,"Greenlake Field 2","The Joel Duck Experience","Here For The Beer","8","13"
"2014","Summer",3,2014-06-29 15:00:00,"Greenlake Field 2","The Joel Duck Experience","Your Mom Plays Softball","3","24"
"2014","Summer",3,2014-06-29 16:30:00,"Greenlake Field 2","Dirty Mike And The Boys","Find The Holes","11","15"
"2014","Summer",3,2014-06-29 18:00:00,"Greenlake Field 2","Oregon Sucks!","Dirty Mike And The Boys","18","12"
"2014","Summer",4,2014-07-13 12:00:00,"Greenlake Field 1","Your Mom Plays Softball","Afternoon Delight","20","4"
"2014","Summer",4,2014-07-13 13:30:00,"Greenlake Field 1","Fowl Balls","Find The Holes","19","19"
"2014","Summer",4,2014-07-13 15:00:00,"Greenlake Field 1","Fowl Balls","The Joel Duck Experience","32","5"
"2014","Summer",4,2014-07-13 16:30:00,"Greenlake Field 1","The Joel Duck Experience","#Blessed","18","15"
"2014","Summer",4,2014-07-13 18:00:00,"Greenlake Field 1","Oregon Sucks!","Here For The Beer","24","7"
"2014","Summer",4,2014-07-13 13:30:00,"Greenlake Field 2","Sloppy Bunts","Son Of Pitches","19","16"
"2014","Summer",4,2014-07-13 15:00:00,"Greenlake Field 2","Sluggernauts","Dirty Mike And The Boys","15","24"
"2014","Summer",4,2014-07-13 18:00:00,"Greenlake Field 2","Gomicroamadub","Greenlake Jackals","12","22"
"2014","Summer",5,2014-07-20 12:00:00,"Greenlake Field 1","Find The Holes","Son Of Pitches","17","6"
